Date,Price
7/19/10,293.63
7/26/10,294.15
8/2/10,295.56
8/9/10,297.48
8/16/10,300.95
8/23/10,301.16
8/30/10,301.44
9/6/10,299.1
9/13/10,299.61
9/20/10,300.18
9/27/10,302.89
10/4/10,303.59
10/11/10,305.12
10/18/10,302.92
10/25/10,303.36
11/1/10,302.99
11/8/10,303.76
11/15/10,299.26
11/22/10,301.2
11/29/10,301.16
12/6/10,299.97
12/13/10,296.99
12/20/10,296.8
12/27/10,297.29
1/3/11,298.63
1/10/11,298.92
1/17/11,299.57
1/24/11,298.66
1/31/11,299.27
2/7/11,296.86
2/14/11,297.61
2/21/11,298.74
2/28/11,301.07
3/7/11,299.98
3/14/11,302.15
3/21/11,302.14
3/28/11,300.77
4/4/11,301.36
4/11/11,300.06
4/18/11,303.29
4/25/11,303.71
5/2/11,305.6
5/9/11,307.67
5/16/11,308.06
5/23/11,308.24
5/30/11,309.22
6/6/11,309.08
6/13/11,309.15
6/20/11,309.4
6/27/11,309.06
7/4/11,307.11
7/11/11,311.73
7/18/11,310.82
7/25/11,310.19
8/1/11,314.98
8/8/11,316.77
8/15/11,314.89
8/22/11,316.97
8/29/11,313.05
9/5/11,319.28
9/12/11,318.24
9/19/11,318.11
9/26/11,316.34
10/3/11,317.58
10/10/11,312.09
10/17/11,314.78
10/24/11,316.56
10/31/11,320.58
11/7/11,322.49
11/14/11,320.06
11/21/11,318.55
11/28/11,317.67
12/5/11,318.1
12/12/11,318.37
12/19/11,321.79
12/26/11,318.56
1/2/12,322.13
1/9/12,321.83
1/16/12,324.11
1/23/12,322.55
1/30/12,327.33
2/6/12,328.12
2/13/12,328.04
2/20/12,327.19
2/27/12,330.22
3/5/12,329.98
3/12/12,329.1
3/19/12,324.82
3/26/12,327.33
4/2/12,327.87
4/9/12,329.8
4/16/12,330.74
4/23/12,331.47
4/30/12,331.85
5/7/12,333.14
5/14/12,334.28
5/21/12,332.5
5/28/12,331.8
6/4/12,334.66
6/11/12,333.97
6/18/12,334.96
6/25/12,336.21
7/2/12,337.44
7/9/12,339.28
7/16/12,342
7/23/12,344.1
7/30/12,344.09
8/6/12,344.07
8/13/12,343.25
8/20/12,340.42
8/27/12,343.9
9/3/12,345.89
9/10/12,343.86
9/17/12,343.53
9/24/12,346.04
10/1/12,348.02
10/8/12,347.92
10/15/12,350.55
10/22/12,349.69
10/29/12,350.82
11/5/12,350.93
11/12/12,351.95
11/19/12,350.64
11/26/12,349.94
12/3/12,350.45
12/10/12,350.83
12/17/12,348.73
12/24/12,349.37
12/31/12,349.89
1/7/13,348.59
1/14/13,349.68
1/21/13,349.22
1/28/13,347.41
2/4/13,347.21
2/11/13,347.89
2/18/13,347.54
2/25/13,349.88
3/4/13,349.87
3/11/13,347.1
3/18/13,348.98
3/25/13,349.43
4/1/13,350.37
4/8/13,353.69
4/15/13,354.88
4/22/13,354.98
4/29/13,355.86
5/6/13,354.12
5/13/13,352.11
5/20/13,351.69
5/27/13,350.95
6/3/13,347.95
6/10/13,344.97
6/17/13,345.38
6/24/13,336.72
7/1/13,339.27
7/8/13,337.34
7/15/13,340.23
7/22/13,342.93
7/29/13,341.5
8/5/13,340.57
8/12/13,341.11
8/19/13,335.7
8/26/13,337.64
9/2/13,338.25
9/9/13,336.24
9/16/13,336.47
9/23/13,340.06
9/30/13,341.4
10/7/13,341.83
10/14/13,341
10/21/13,344.34
10/28/13,346.09
11/4/13,344.98
11/11/13,342.19
11/18/13,344.76
11/25/13,344.49
12/2/13,344.12
12/9/13,343.65
12/16/13,344.46
12/23/13,345.58
12/30/13,345.16
1/6/14,345.99
1/13/14,348.8
1/20/14,348.9
1/27/14,349.37
2/3/14,352.42
2/10/14,351.26
2/17/14,351.62
2/24/14,351.76
3/3/14,355.25
3/10/14,351.67
3/17/14,353.16
3/24/14,353.63
3/31/14,354.58
4/7/14,355.97
4/14/14,357.76
4/21/14,356.67
4/28/14,358.01
5/5/14,359.67
5/12/14,359.11
5/19/14,361.51
5/26/14,361.6
6/2/14,361.73
6/9/14,360.56
6/16/14,361.46
6/23/14,361.23
6/30/14,363.55
7/7/14,361.48
7/14/14,363.02
7/21/14,364.5
7/28/14,364.53
8/4/14,363.99
8/11/14,365.01
8/18/14,366.14
8/25/14,366.83
9/1/14,368.11
9/8/14,365.26
9/15/14,362.54
9/22/14,363.43
9/29/14,364.27
10/6/14,366.18
10/13/14,369.6
10/20/14,369.94
10/27/14,368.52
11/3/14,366.84
11/10/14,366.14
11/17/14,366.04
11/24/14,366.92
12/1/14,368.85
12/8/14,368.39
12/15/14,370.28
12/22/14,369.92
12/29/14,369.7
1/5/15,373.71
1/12/15,376.42
1/19/15,378.13
1/26/15,377.91
2/2/15,381.53
2/9/15,376.34
2/16/15,374.06
2/23/15,375.65
3/2/15,375.27
3/9/15,373.29
3/16/15,374.86
3/23/15,378.77
3/30/15,377.96
4/6/15,379.34
4/13/15,379.5
4/20/15,380.17
4/27/15,379.5
5/4/15,373.48
5/11/15,370.31
5/18/15,371.3
5/25/15,371.37
6/1/15,371.07
6/8/15,367.55
6/15/15,367.59
6/22/15,366.77
6/29/15,367.68
7/6/15,368.97
7/13/15,365.55
7/20/15,366.83
7/27/15,369.69
8/3/15,371.05
8/10/15,368.88
8/17/15,370.18
8/24/15,371.93
8/31/15,367.81
9/7/15,#N/A
9/14/15,369.48
9/21/15,369.18
9/28/15,371.57
10/5/15,371.12
10/12/15,#N/A
10/19/15,373.37
10/26/15,374.55
11/2/15,371.84
11/9/15,368.89
11/16/15,370
11/23/15,371.28
11/30/15,371.98
12/7/15,372.39
12/14/15,370.44
12/21/15,370.8
12/28/15,370.75
1/4/16,370.3
1/11/16,371.36
1/18/16,#N/A
1/25/16,370.62
2/1/16,370.34
2/8/16,374.15
2/15/16,#N/A
2/22/16,372.71
2/29/16,374.48
3/7/16,374.13
3/14/16,376.42
3/21/16,379.49
3/28/16,381.95
4/4/16,384.57
4/11/16,386.3
4/18/16,386.81
4/25/16,385.94
5/2/16,387.33
5/9/16,389.07
5/16/16,388.8
5/23/16,386.79
5/30/16,#N/A
6/6/16,390.61
6/13/16,393.24
6/20/16,391.84
6/27/16,395.98
7/4/16,#N/A
7/11/16,400.96
7/18/16,398.44
7/25/16,399.26
8/1/16,400.31
8/8/16,398.8
8/15/16,400.37
8/22/16,402
8/29/16,402.4
9/5/16,#N/A
9/12/16,398.05
9/19/16,397.43
9/26/16,400.98
10/3/16,400.62
10/10/16,#N/A
10/17/16,398.51
10/24/16,399.05
10/31/16,397.02
11/7/16,396.51
11/14/16,388.32
11/21/16,386.23
11/28/16,387.08
12/5/16,386.54
12/12/16,385.16
12/19/16,385.33
12/26/16,#N/A
1/2/17,#N/A
1/9/17,390.88
1/16/17,#N/A
1/23/17,390.79
1/30/17,389.06
2/6/17,390.49
2/13/17,390.26
2/20/17,#N/A
2/27/17,392.96
3/6/17,390.72
3/13/17,387.21
3/20/17,390.65
3/27/17,393.17
4/3/17,393.8
4/10/17,393.91
4/17/17,396.52
4/24/17,396.23
5/1/17,395.16
5/8/17,395.08
5/15/17,396.6
5/22/17,399.1
5/29/17,#N/A
6/5/17,401.37
6/12/17,400.9
6/19/17,402.59
6/26/17,404.86
7/3/17,401.13
