Date,Price
7/19/10,515.89
7/26/10,553.89
8/2/10,566.92
8/9/10,562.68
8/16/10,536.26
8/23/10,532.04
8/30/10,537.15
9/6/10,573.88
9/13/10,573.02
9/20/10,587.65
9/27/10,568.27
10/4/10,575.01
10/11/10,583.05
10/18/10,598.15
10/25/10,603.34
11/1/10,594.96
11/8/10,615.67
11/15/10,584.38
11/22/10,578.43
11/29/10,583.48
12/6/10,594.98
12/13/10,588.44
12/20/10,589.83
12/27/10,604.11
1/3/11,618.37
1/10/11,604.82
1/17/11,613.15
1/24/11,615.46
1/31/11,629.94
2/7/11,635.97
2/14/11,645.1
2/21/11,648.28
2/28/11,658.6
3/7/11,634.05
3/14/11,635.63
3/21/11,640.86
3/28/11,635.96
4/4/11,652.91
4/11/11,640.32
4/18/11,647.23
4/25/11,668.25
5/2/11,682.01
5/9/11,671.79
5/16/11,668.71
5/23/11,662.27
5/30/11,678.12
6/6/11,658.47
6/13/11,643.29
6/20/11,659.63
6/27/11,654.03
7/4/11,680.37
7/11/11,681.94
7/18/11,672.22
7/25/11,688.59
8/1/11,660.84
8/8/11,542.35
8/15/11,627.96
8/22/11,588.64
8/29/11,625.23
9/5/11,608.16
9/12/11,607.45
9/19/11,615.94
9/26/11,582.72
10/3/11,539.54
10/10/11,582.07
10/17/11,575.9
10/24/11,625.67
10/31/11,642.65
11/7/11,636.46
11/14/11,619.01
11/21/11,595.76
11/28/11,592.28
12/5/11,618.15
12/12/11,610.42
12/19/11,614.96
12/26/11,646.85
1/2/12,643.87
1/9/12,642.2
1/16/12,653.6
1/23/12,671.75
1/30/12,683.07
2/6/12,700.52
2/13/12,697.17
2/20/12,693.05
2/27/12,688.05
3/5/12,691.39
3/12/12,690.17
3/19/12,710.33
3/26/12,708.25
4/2/12,717.77
4/9/12,697.41
4/16/12,706.99
4/23/12,708.53
4/30/12,731.84
5/7/12,733.3
5/14/12,723.61
5/21/12,699.81
5/28/12,703.25
6/4/12,679.82
6/11/12,698.03
6/18/12,721.12
6/25/12,708.4
7/2/12,747.74
7/9/12,750.56
7/16/12,757.15
7/23/12,743.66
7/30/12,757.53
8/6/12,758.73
8/13/12,745.84
8/20/12,752.01
8/27/12,754.22
9/3/12,758.2
9/10/12,764.57
9/17/12,780.82
9/24/12,759.82
10/1/12,746.22
10/8/12,751.85
10/15/12,751.51
10/22/12,753.12
10/29/12,738.17
11/5/12,747.81
11/12/12,734.21
11/19/12,730.14
11/26/12,740.32
12/3/12,744.84
12/10/12,752.63
12/17/12,751.08
12/24/12,765.23
12/31/12,765.74
1/7/13,782.93
1/14/13,787.88
1/21/13,796.59
1/28/13,806.26
2/4/13,799.08
2/11/13,804.91
2/18/13,807.63
2/25/13,792.6
3/4/13,814.29
3/11/13,817.08
3/18/13,816.29
3/25/13,818.59
4/1/13,831.82
4/8/13,853.63
4/15/13,845.71
4/22/13,859.29
4/29/13,869.51
5/6/13,880.47
5/13/13,884.71
5/20/13,899
5/27/13,#N/A
6/3/13,824.03
6/10/13,812.78
6/17/13,815.95
6/24/13,766.67
7/1/13,799.35
7/8/13,800.31
7/15/13,830.29
7/22/13,840.42
7/29/13,818.11
8/5/13,797.88
8/12/13,794.08
8/19/13,738.38
8/26/13,764.67
9/2/13,#N/A
9/9/13,774.95
9/16/13,784.34
9/23/13,788.5
9/30/13,779.75
10/7/13,780.15
10/14/13,797.33
10/21/13,816.29
10/28/13,828.17
11/4/13,815.58
11/11/13,782.93
11/18/13,788.1
11/25/13,773.61
12/2/13,768.18
12/9/13,781.26
12/16/13,763.43
12/23/13,777.8
12/30/13,781.78
1/6/14,786.08
1/13/14,791.21
1/20/14,#N/A
1/27/14,789.93
2/3/14,794.1
2/10/14,821.99
2/17/14,#N/A
2/24/14,837.42
3/3/14,845.61
3/10/14,837.82
3/17/14,844.02
3/24/14,835.15
3/31/14,847.46
4/7/14,853.55
4/14/14,848.91
4/21/14,863.57
4/28/14,868.37
5/5/14,881.83
5/12/14,891.96
5/19/14,890.64
5/26/14,#N/A
6/2/14,898.57
6/9/14,901.24
6/16/14,888.29
6/23/14,902.57
6/30/14,907.26
7/7/14,905.4
7/14/14,916.79
7/21/14,920.18
7/28/14,924.57
8/4/14,909.61
8/11/14,916.02
8/18/14,934.41
8/25/14,931.7
9/1/14,#N/A
9/8/14,944.21
9/15/14,896.55
9/22/14,889.39
9/29/14,887.86
10/6/14,889.62
10/13/14,896.78
10/20/14,924.33
10/27/14,945.87
11/3/14,964.94
11/10/14,965.88
11/17/14,959.3
11/24/14,970.95
12/1/14,980.49
12/8/14,983.12
12/15/14,965.02
12/22/14,1006.83
12/29/14,1008.5
1/5/15,1007.26
1/12/15,1040.17
1/19/15,#N/A
1/26/15,1074.12
2/2/15,1046.83
2/9/15,1030.84
2/16/15,#N/A
2/23/15,1041.17
3/2/15,1027.61
3/9/15,995.95
3/16/15,1017.72
3/23/15,1057.61
3/30/15,1042.1
4/6/15,1051.03
4/13/15,1014.78
4/20/15,1012.18
4/27/15,1017.05
5/4/15,992.67
5/11/15,982.16
5/18/15,1000.19
5/25/15,#N/A
6/1/15,991.84
6/8/15,957.08
6/15/15,957.64
6/22/15,969.71
6/29/15,938.79
7/6/15,960.46
7/13/15,974.13
7/20/15,982.57
7/27/15,976.18
8/3/15,990.5
8/10/15,984.57
8/17/15,1008.81
8/24/15,930.48
8/31/15,928.95
9/7/15,#N/A
9/14/15,924.07
9/21/15,957.67
9/28/15,927.87
10/5/15,975.14
10/12/15,993.94
10/19/15,1011.75
10/26/15,1010.29
11/2/15,1025.3
11/9/15,971.81
11/16/15,976.3
11/23/15,1001.72
11/30/15,1001.63
12/7/15,994.63
12/14/15,978.06
12/21/15,996.05
12/28/15,1016.17
1/4/16,1002.02
1/11/16,985.79
1/18/16,#N/A
1/25/16,952.13
2/1/16,972.1
2/8/16,918.24
2/15/16,#N/A
2/22/16,954.8
2/29/16,964.77
3/7/16,1007.39
3/14/16,1020.97
3/21/16,1036.79
3/28/16,1039.32
4/4/16,1063.53
4/11/16,1059.04
4/18/16,1069.27
4/25/16,1055.46
5/2/16,1061.73
5/9/16,1097.2
5/16/16,1085.23
5/23/16,1050.64
5/30/16,#N/A
6/6/16,1074.5
6/13/16,1081.34
6/20/16,1091.65
6/27/16,1087.05
7/4/16,#N/A
7/11/16,1156.69
7/18/16,1157.68
7/25/16,1172.56
8/1/16,1184.94
8/8/16,1160.4
8/15/16,1155.55
8/22/16,1139.9
8/29/16,1140.93
9/5/16,#N/A
9/12/16,1117.84
9/19/16,1107.91
9/26/16,1144.86
10/3/16,1105.68
10/10/16,1073.64
10/17/16,1082.25
10/24/16,1091.49
