Date,Price
7/18/10,1189.25
7/25/10,1190.5
8/1/10,1169
8/8/10,1207.75
8/15/10,1214.25
8/22/10,1223.5
8/29/10,1235
9/5/10,1240.5
9/12/10,1246.5
9/19/10,1274
9/26/10,1297
10/3/10,1316.25
10/10/10,1341.5
10/17/10,1367.5
10/24/10,1322.5
10/31/10,1346.75
11/7/10,1395.5
11/14/10,1388.5
11/21/10,1342.5
11/28/10,1355
12/5/10,1403.5
12/12/10,1375.25
12/19/10,1368.5
12/26/10,1373.5
1/2/11,1405.5
1/9/11,1367
1/16/11,1367
1/23/11,1343.5
1/30/11,1319
2/6/11,1355
2/13/11,1364
2/20/11,1383.5
2/27/11,1402.5
3/6/11,1427
3/13/11,1411.5
3/20/11,1420
3/27/11,1436
4/3/11,1418
4/10/11,1469.5
4/17/11,1476.75
4/24/11,1504
5/1/11,1535.5
5/8/11,1486.5
5/15/11,1505.75
5/22/11,1490.75
5/29/11,1533
6/5/11,1540
6/12/11,1529.25
6/19/11,1537.5
6/26/11,1514.75
7/3/11,1483
7/10/11,1541.5
7/17/11,1587
7/24/11,1602
7/31/11,1628.5
8/7/11,1658.75
8/14/11,1736
8/21/11,1848
8/28/11,1788
9/4/11,1875.25
9/11/11,1851
9/18/11,1794
9/25/11,1689
10/2/11,1620
10/9/11,1652
10/16/11,1678
10/23/11,1642.5
10/30/11,1741
11/6/11,1749
11/13/11,1773
11/20/11,1719
11/27/11,1688.5
12/4/11,1747
12/11/11,1709
12/18/11,1594
12/25/11,1606.5
1/1/12,1531
1/8/12,1616.5
1/15/12,1635.5
1/22/12,1653
1/29/12,1726
2/5/12,1734
2/12/12,1711.5
2/19/12,1723
2/26/12,1777.5
3/4/12,1707
3/11/12,1687.5
3/18/12,1658
3/25/12,1664
4/1/12,1662.5
4/8/12,1631
4/15/12,1666.5
4/22/12,1641.5
4/29/12,1663.5
5/6/12,1643.75
5/13/12,1583
5/20/12,1589.5
5/27/12,1569.5
6/3/12,1606
6/10/12,1576.5
6/17/12,1627.25
6/24/12,1565.5
7/1/12,1598.5
7/8/12,1587
7/15/12,1595.5
7/22/12,1576.25
7/29/12,1618.25
8/5/12,1602
8/12/12,1618.5
8/19/12,1614.75
8/26/12,1667
9/2/12,1648.5
9/9/12,1728
9/16/12,1775.5
9/23/12,1784.5
9/30/12,1776
10/7/12,1784
10/14/12,1766.75
10/21/12,1737
10/28/12,1716
11/4/12,1685
11/11/12,1738.25
11/18/12,1713.5
11/25/12,1734.5
12/2/12,1726
12/9/12,1701.5
12/16/12,1696.25
12/23/12,1651.5
12/30/12,1657.5
1/6/13,1648
1/13/13,1657.5
1/20/13,1688.5
1/27/13,1660
2/3/13,1669
2/10/13,1668.25
2/17/13,1612.25
2/24/13,1576.5
3/3/13,1582.25
3/10/13,1581.75
3/17/13,1595.5
3/24/13,1607.75
3/31/13,1598.25
4/7/13,1568
4/14/13,1535.5
4/21/13,1405.5
4/28/13,1471.5
5/5/13,1469.25
5/12/13,1426.5
5/19/13,1368.75
5/26/13,1390.25
6/2/13,1394.5
6/9/13,1386
6/16/13,1391.25
6/23/13,1295.25
6/30/13,1192
7/7/13,1212.75
7/14/13,1279.75
7/21/13,1295.75
7/28/13,1331
8/4/13,1309.25
8/11/13,1309
8/18/13,1369.25
8/25/13,1377.5
9/1/13,1394.75
9/8/13,1387
9/15/13,1318.5
9/22/13,1349.25
9/29/13,1341
10/6/13,1309.75
10/13/13,1265.5
10/20/13,1316.5
10/27/13,1347.75
11/3/13,1306.75
11/10/13,1285.5
11/17/13,1287.25
11/24/13,1246.25
12/1/13,1253
12/8/13,1233
12/15/13,1232
12/22/13,1195.25
12/29/13,1214.5
1/5/14,1234.5
1/12/14,1244.25
1/19/14,1250
1/26/14,1267
2/2/14,1251
2/9/14,1259.25
2/16/14,1320
2/23/14,1323.25
3/2/14,1326.5
3/9/14,1335.25
3/16/14,1385
3/23/14,1336
3/30/14,1294.75
4/6/14,1297.25
4/13/14,1318
4/20/14,1299
4/27/14,1301.25
5/4/14,1281.25
5/11/14,1291.25
5/18/14,1291.5
5/25/14,1291.5
6/1/14,1250.5
6/8/14,1247.5
6/15/14,1273
6/22/14,1312.5
6/29/14,1317.5
7/6/14,1319.25
7/13/14,1335
7/20/14,1307.25
7/27/14,1294.75
8/3/14,1291.25
8/10/14,1309.75
8/17/14,1296
8/24/14,1277.25
8/31/14,1285.75
9/7/14,1266
9/14/14,1231.5
9/21/14,1219.75
9/28/14,1213.75
10/5/14,1195
10/12/14,1219
10/19/14,1234.25
10/26/14,1232.75
11/2/14,1164.25
11/9/14,1154.5
11/16/14,1169
11/23/14,1203.75
11/30/14,1182.75
12/7/14,1194
12/14/14,1217
12/21/14,1195.5
12/28/14,1175.75
1/4/15,1172
1/11/15,1217.75
1/18/15,1277.5
1/25/15,1294.75
2/1/15,1260.25
2/8/15,1241
2/15/15,1232.5
2/22/15,1208.25
3/1/15,1214
3/8/15,1175.75
3/15/15,1152
3/22/15,1183.1
3/29/15,1195.75
4/5/15,1198.5
4/12/15,1207.35
4/19/15,1203.35
4/26/15,1183
5/3/15,1175.95
5/10/15,1186
5/17/15,1220.5
5/24/15,1204.1
5/31/15,1191.4
6/7/15,1164.6
6/14/15,1182.8
6/21/15,1203.4
6/28/15,1170.5
7/5/15,1167.95
7/12/15,1159.3
7/19/15,1132.8
7/26/15,1080.8
8/2/15,1098.4
8/9/15,1093.5
8/16/15,1118.25
8/23/15,1156.5
8/30/15,1135
9/6/15,1118.25
9/13/15,1100.25
9/20/15,1141.5
9/27/15,1146.65
10/4/15,1140.75
10/11/15,1151.55
10/18/15,1180.85
10/25/15,1161.25
11/1/15,1142.35
11/8/15,1088.9
11/15/15,1081.5
11/22/15,1081.75
11/29/15,1057.4
12/6/15,1079.25
12/13/15,1072.5
12/20/15,1062.5
12/27/15,1068.25
1/3/16,1060
1/10/16,1101.85
1/17/16,1093.75
1/24/16,1096.25
1/31/16,1111.8
2/7/16,1150.35
2/14/16,1239.75
2/21/16,1231.15
2/28/16,1226.5
3/6/16,1277.5
3/13/16,1264.75
3/20/16,1252.1
3/27/16,1221
4/3/16,1213.6
4/10/16,1239.5
4/17/16,1227.1
4/24/16,1243.25
5/1/16,1285.65
5/8/16,1289
5/15/16,1265.9
5/22/16,1254.2
5/29/16,1216.25
6/5/16,1240.5
6/12/16,1275.5
6/19/16,1290.7
6/26/16,1315.5
7/3/16,1340
7/10/16,1354.25
7/17/16,1327
7/24/16,1320.75
7/31/16,1342
8/7/16,1340.4
